,date,cars
0,2022-06-01 00:00:00,2
1,2022-06-01 00:05:00,2
2,2022-06-01 00:10:00,2
3,2022-06-01 00:15:00,2
4,2022-06-01 00:20:00,1
5,2022-06-01 00:25:00,1
6,2022-06-01 00:30:00,1
7,2022-06-01 00:35:00,1
8,2022-06-01 00:40:00,1
9,2022-06-01 00:45:00,1
10,2022-06-01 00:50:00,0
11,2022-06-01 00:55:00,1
12,2022-06-01 01:00:00,1
13,2022-06-01 01:05:00,1
14,2022-06-01 01:10:00,1
15,2022-06-01 01:15:00,1
16,2022-06-01 01:20:00,1
17,2022-06-01 01:25:00,2
18,2022-06-01 01:30:00,1
19,2022-06-01 01:35:00,2
20,2022-06-01 01:40:00,2
21,2022-06-01 01:45:00,2
22,2022-06-01 01:50:00,2
23,2022-06-01 01:55:00,3
24,2022-06-01 02:00:00,2
25,2022-06-01 02:05:00,3
26,2022-06-01 02:10:00,2
27,2022-06-01 02:15:00,2
28,2022-06-01 02:20:00,2
29,2022-06-01 02:25:00,3
30,2022-06-01 02:30:00,1
31,2022-06-01 02:35:00,2
32,2022-06-01 02:40:00,1
33,2022-06-01 02:45:00,2
34,2022-06-01 02:50:00,2
35,2022-06-01 02:55:00,3
36,2022-06-01 03:00:00,2
37,2022-06-01 03:05:00,3
38,2022-06-01 03:10:00,3
39,2022-06-01 03:15:00,3
40,2022-06-01 03:20:00,2
41,2022-06-01 03:25:00,3
42,2022-06-01 03:30:00,2
43,2022-06-01 03:35:00,3
44,2022-06-01 03:40:00,3
45,2022-06-01 03:45:00,3
46,2022-06-01 03:50:00,2
47,2022-06-01 03:55:00,2
48,2022-06-01 04:00:00,2
49,2022-06-01 04:05:00,2
50,2022-06-01 04:10:00,1
51,2022-06-01 04:15:00,2
52,2022-06-01 04:20:00,2
53,2022-06-01 04:25:00,2
54,2022-06-01 04:30:00,1
55,2022-06-01 04:35:00,2
56,2022-06-01 04:40:00,1
57,2022-06-01 04:45:00,2
58,2022-06-01 04:50:00,1
59,2022-06-01 04:55:00,2
60,2022-06-01 05:00:00,2
61,2022-06-01 05:05:00,2
62,2022-06-01 05:10:00,2
63,2022-06-01 05:15:00,2
64,2022-06-01 05:20:00,1
65,2022-06-01 05:25:00,2
66,2022-06-01 05:30:00,3
67,2022-06-01 05:35:00,4
68,2022-06-01 05:40:00,5
69,2022-06-01 05:45:00,6
70,2022-06-01 05:50:00,4
71,2022-06-01 05:55:00,5
72,2022-06-01 06:00:00,5
73,2022-06-01 06:05:00,6
74,2022-06-01 06:10:00,4
75,2022-06-01 06:15:00,4
76,2022-06-01 06:20:00,5
77,2022-06-01 06:25:00,6
78,2022-06-01 06:30:00,4
79,2022-06-01 06:35:00,5
80,2022-06-01 06:40:00,4
81,2022-06-01 06:45:00,5
82,2022-06-01 06:50:00,4
83,2022-06-01 06:55:00,5
84,2022-06-01 07:00:00,3
85,2022-06-01 07:05:00,4
86,2022-06-01 07:10:00,4
87,2022-06-01 07:15:00,4
88,2022-06-01 07:20:00,4
89,2022-06-01 07:25:00,5
90,2022-06-01 07:30:00,5
91,2022-06-01 07:35:00,6
92,2022-06-01 07:40:00,4
93,2022-06-01 07:45:00,5
94,2022-06-01 07:50:00,4
95,2022-06-01 07:55:00,5
96,2022-06-01 08:00:00,3
97,2022-06-01 08:05:00,4
98,2022-06-01 08:10:00,2
99,2022-06-01 08:15:00,3
100,2022-06-01 08:20:00,2
101,2022-06-01 08:25:00,3
102,2022-06-01 08:30:00,2
103,2022-06-01 08:35:00,2
104,2022-06-01 08:40:00,1
105,2022-06-01 08:45:00,2
106,2022-06-01 08:50:00,1
107,2022-06-01 08:55:00,2
108,2022-06-01 09:00:00,1
109,2022-06-01 09:05:00,2
110,2022-06-01 09:10:00,2
111,2022-06-01 09:15:00,2
112,2022-06-01 09:20:00,2
113,2022-06-01 09:25:00,2
114,2022-06-01 09:30:00,4
115,2022-06-01 09:35:00,5
116,2022-06-01 09:40:00,5
117,2022-06-01 09:45:00,6
118,2022-06-01 09:50:00,5
119,2022-06-01 09:55:00,6
120,2022-06-01 10:00:00,5
121,2022-06-01 10:05:00,6
122,2022-06-01 10:10:00,4
123,2022-06-01 10:15:00,5
124,2022-06-01 10:20:00,4
125,2022-06-01 10:25:00,5
126,2022-06-01 10:30:00,4
127,2022-06-01 10:35:00,4
128,2022-06-01 10:40:00,4
129,2022-06-01 10:45:00,5
130,2022-06-01 10:50:00,4
131,2022-06-01 10:55:00,4
132,2022-06-01 11:00:00,3
133,2022-06-01 11:05:00,4
134,2022-06-01 11:10:00,4
135,2022-06-01 11:15:00,5
136,2022-06-01 11:20:00,4
137,2022-06-01 11:25:00,4
138,2022-06-01 11:30:00,3
139,2022-06-01 11:35:00,4
140,2022-06-01 11:40:00,3
141,2022-06-01 11:45:00,4
142,2022-06-01 11:50:00,3
143,2022-06-01 11:55:00,3
144,2022-06-01 12:00:00,3
145,2022-06-01 12:05:00,3
146,2022-06-01 12:10:00,3
147,2022-06-01 12:15:00,3
148,2022-06-01 12:20:00,2
149,2022-06-01 12:25:00,2
150,2022-06-01 12:30:00,2
151,2022-06-01 12:35:00,2
152,2022-06-01 12:40:00,1
153,2022-06-01 12:45:00,1
154,2022-06-01 12:50:00,2
155,2022-06-01 12:55:00,2
156,2022-06-01 13:00:00,2
157,2022-06-01 13:05:00,2
158,2022-06-01 13:10:00,1
159,2022-06-01 13:15:00,2
160,2022-06-01 13:20:00,2
161,2022-06-01 13:25:00,2
162,2022-06-01 13:30:00,3
163,2022-06-01 13:35:00,4
164,2022-06-01 13:40:00,4
165,2022-06-01 13:45:00,4
166,2022-06-01 13:50:00,4
167,2022-06-01 13:55:00,5
168,2022-06-01 14:00:00,5
169,2022-06-01 14:05:00,5
170,2022-06-01 14:10:00,4
171,2022-06-01 14:15:00,4
172,2022-06-01 14:20:00,4
173,2022-06-01 14:25:00,4
174,2022-06-01 14:30:00,4
175,2022-06-01 14:35:00,4
176,2022-06-01 14:40:00,4
177,2022-06-01 14:45:00,4
178,2022-06-01 14:50:00,4
179,2022-06-01 14:55:00,4
180,2022-06-01 15:00:00,4
181,2022-06-01 15:05:00,4
182,2022-06-01 15:10:00,4
183,2022-06-01 15:15:00,4
184,2022-06-01 15:20:00,4
185,2022-06-01 15:25:00,4
186,2022-06-01 15:30:00,4
187,2022-06-01 15:35:00,4
188,2022-06-01 15:40:00,4
189,2022-06-01 15:45:00,4
190,2022-06-01 15:50:00,4
191,2022-06-01 15:55:00,4
192,2022-06-01 16:00:00,4
193,2022-06-01 16:05:00,3
194,2022-06-01 16:10:00,5
195,2022-06-01 16:15:00,3
196,2022-06-01 16:20:00,4
197,2022-06-01 16:25:00,3
198,2022-06-01 16:30:00,3
199,2022-06-01 16:35:00,2
200,2022-06-01 16:40:00,3
201,2022-06-01 16:45:00,2
202,2022-06-01 16:50:00,2
203,2022-06-01 16:55:00,1
204,2022-06-01 17:00:00,3
205,2022-06-01 17:05:00,2
206,2022-06-01 17:10:00,3
207,2022-06-01 17:15:00,2
208,2022-06-01 17:20:00,3
209,2022-06-01 17:25:00,2
210,2022-06-01 17:30:00,4
211,2022-06-01 17:35:00,3
212,2022-06-01 17:40:00,5
213,2022-06-01 17:45:00,4
214,2022-06-01 17:50:00,6
215,2022-06-01 17:55:00,4
216,2022-06-01 18:00:00,7
217,2022-06-01 18:05:00,4
218,2022-06-01 18:10:00,6
219,2022-06-01 18:15:00,4
220,2022-06-01 18:20:00,7
221,2022-06-01 18:25:00,4
222,2022-06-01 18:30:00,6
223,2022-06-01 18:35:00,4
224,2022-06-01 18:40:00,5
225,2022-06-01 18:45:00,3
226,2022-06-01 18:50:00,5
227,2022-06-01 18:55:00,3
228,2022-06-01 19:00:00,6
229,2022-06-01 19:05:00,4
230,2022-06-01 19:10:00,7
231,2022-06-01 19:15:00,4
232,2022-06-01 19:20:00,6
233,2022-06-01 19:25:00,4
234,2022-06-01 19:30:00,5
235,2022-06-01 19:35:00,4
236,2022-06-01 19:40:00,5
237,2022-06-01 19:45:00,4
238,2022-06-01 19:50:00,5
239,2022-06-01 19:55:00,4
240,2022-06-01 20:00:00,4
241,2022-06-01 20:05:00,3
242,2022-06-01 20:10:00,5
243,2022-06-01 20:15:00,3
244,2022-06-01 20:20:00,5
245,2022-06-01 20:25:00,3
246,2022-06-01 20:30:00,3
247,2022-06-01 20:35:00,2
248,2022-06-01 20:40:00,3
249,2022-06-01 20:45:00,2
250,2022-06-01 20:50:00,3
251,2022-06-01 20:55:00,2
252,2022-06-01 21:00:00,3
253,2022-06-01 21:05:00,2
254,2022-06-01 21:10:00,3
255,2022-06-01 21:15:00,2
256,2022-06-01 21:20:00,3
257,2022-06-01 21:25:00,2
258,2022-06-01 21:30:00,5
259,2022-06-01 21:35:00,3
260,2022-06-01 21:40:00,6
261,2022-06-01 21:45:00,4
262,2022-06-01 21:50:00,7
263,2022-06-01 21:55:00,4
264,2022-06-01 22:00:00,7
265,2022-06-01 22:05:00,4
266,2022-06-01 22:10:00,5
267,2022-06-01 22:15:00,4
268,2022-06-01 22:20:00,6
269,2022-06-01 22:25:00,4
270,2022-06-01 22:30:00,6
271,2022-06-01 22:35:00,4
272,2022-06-01 22:40:00,5
273,2022-06-01 22:45:00,3
274,2022-06-01 22:50:00,5
275,2022-06-01 22:55:00,3
276,2022-06-01 23:00:00,5
277,2022-06-01 23:05:00,3
278,2022-06-01 23:10:00,6
279,2022-06-01 23:15:00,4
280,2022-06-01 23:20:00,5
281,2022-06-01 23:25:00,3
